cod_cliente;nombre;apellido1;apellido2;dni;correo;telefono;dni_ok;dni_ko;telefono_ok;telefono_ko;correo_ok;correo_ko;dni_hash
C026;Alvaro;CAMPOS;ROJAS;17181920B;alvaro.campos@correo.es;612345026;N;Y;Y;N;Y;N;e64276bdaa62d67debc53fe26017e0d54cdf09291afdb686e58b41de032db26a
C027;Noelia;VIDAL;SOTO;18192021C;noelia.vidal@correo.es;612345027;N;Y;Y;N;Y;N;4418e090cc64aea5a16d5a3bc8da0a4804dcdaad9a15d7beb34024ee17fc0ef5
C028;Oscar;MORA;ARIAS;19202122D;oscar.mora@correo.es;612345028;N;Y;Y;N;Y;N;504d68dae9d19fb7ad33efba9a9679362bd4d9903ce4f54010f741c3bc5ab16c
C029;Eva;DOMINGUEZ;NAVAS;20212223E;eva.dominguez@correo.es;612345029;N;Y;Y;N;Y;N;cba58f5d1729ea27e46b28d1198ad4d225d1a0d0d8ae77c3ffab8a710d0d0e32
C030;Ruben;CABRERA;SALAS;21222324F;ruben.cabrera@correo.es;612345030;N;Y;Y;N;Y;N;198e90ce7c0a8f9d919e05fb24e7ae6d1d690be4de493804f3413c8b76f061ec
C031;Claudia;FERRER;LORENZO;22232425G;claudia.ferrer@correo.es;612345031;Y;N;Y;N;Y;N;6f0e9d697d649dbe9ee1c0b47c0e9870ed13499d62169582dab124b4d152a06b
C032;Mario;REDONDO;BENITEZ;23242526H;mario.redondo@correo.es;612345032;N;Y;Y;N;Y;N;6dfb11ed1f5f88b9d8d13d8c9329f294691cb836c1b394e041078e1c4c7bdaa2
C033;Alicia;ROLDAN;MOYA;24252627J;alicia.roldan@correo.es;612345033;N;Y;Y;N;Y;N;d733ae1b7ef5debc4c306ca30e87bdb0e57e194f2db2bea957bc739786c75a40
C034;Samuel;CANO;SOLER;25262728K;samuel.cano@correo.es;612345034;N;Y;Y;N;Y;N;588c6fe66d63177c0a6c4cf084d9bed063f93b013b2a03aabb3aacbbeebe38e2
C035;Andrea;PASCUAL;ESTEBAN;26272829L;andrea.pascual@correo.es;612345035;N;Y;Y;N;Y;N;d684b844b60f1da92f4cc3e5a0373afd357e2ca4132476e5e32228e428341a93
C036;Victor;APARICIO;MONTES;27282930M;victor.aparicio@correo.es;612345036;N;Y;Y;N;Y;N;b568c6e5ce5ef97ef5dc85a949bc27c9778bdb210e20b418731c96f3d269e76b
C037;Lorena;SANTANA;CORRAL;28293031N;lorena.santana@correo.es;612345037;N;Y;Y;N;Y;N;92dc7f7d5a861f011f8ae396ae04d934a65f15b9b325193fabd0b1b5ca9e2770
C038;Guillermo;LARA;RICO;29303132P;guillermo.lara@correo.es;612345038;N;Y;Y;N;Y;N;9345a61ab1634faaeaaaa711c7c6ab32197aa24aae0ab88f9dd180326b218f33
C039;Cristina;FRANCO;VARELA;30313233Q;cristina.franco@correo.es;612345039;N;Y;Y;N;Y;N;eeb232a95edbf785358537d6d62a2aa6776ae40243b78fa4c2915d12b38ff350
C040;Diego;PACHECO;SAEZ;31323334R;diego.pacheco@correo.es;612345040;N;Y;Y;N;Y;N;a44b48ef4bfb86c464ab4f75ea6cf2354ec831b07a5edf0a217164ab5e00915d
C041;Monica;ESCOBAR;BRAVO;32333435S;monica.escobar@correo.es;612345041;N;Y;Y;N;Y;N;6c5db445dbf88b0596538d0c8b318a4ea0ae4ff3fea3938cc4596b57cc02327c
C042;Jorge;CUEVAS;SIERRA;33343536T;jorge.cuevas@correo.es;612345042;N;Y;Y;N;Y;N;86a3a75d7e16aae8fa80d432eefa7a811d5518d209256694a8fd2d0fa7315279
